driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
kevin_magnussen,renault,2016,7,villeneuve,16,dry,street,+2 Laps,TRUE
kevin_magnussen,haas,2017,20,yas_marina,13,dry,permanent,+1 Lap,TRUE
russell,williams,2019,8,ricard,19,dry,permanent,+2 Laps,TRUE
kvyat,red_bull,2015,10,hungaroring,2,dry,permanent,Finished,TRUE
ericsson,sauber,2018,2,bahrain,9,dry,permanent,+1 Lap,TRUE
stroll,racing_point,2020,8,monza,3,dry,permanent,Finished,TRUE
ricciardo,red_bull,2015,10,hungaroring,3,dry,permanent,Finished,TRUE
nasr,sauber,2016,20,interlagos,9,wet,permanent,Finished,TRUE
vergne,toro_rosso,2014,14,marina_bay,6,dry,street,Finished,TRUE
hamilton,mercedes,2017,9,red_bull_ring,4,dry,permanent,Finished,TRUE
giovinazzi,alfa,2020,13,imola,10,dry,permanent,Finished,TRUE
vettel,ferrari,2015,11,spa,12,dry,permanent,Tyre,TRUE
raikkonen,alfa,2019,21,yas_marina,13,dry,permanent,+1 Lap,TRUE
hulkenberg,renault,2018,18,americas,6,dry,permanent,Finished,TRUE
hulkenberg,renault,2019,12,hungaroring,12,dry,permanent,+1 Lap,TRUE
albon,toro_rosso,2019,4,BAK,11,dry,permanent,+1 Lap,TRUE
hulkenberg,renault,2017,15,sepang,16,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,7,villeneuve,15,dry,street,+2 Laps,TRUE
mick_schumacher,haas,2021,14,monza,15,dry,permanent,Finished,TRUE
alonso,ferrari,2014,10,hockenheimring,5,dry,permanent,Finished,TRUE
norris,mclaren,2019,17,suzuka,11,dry,permanent,+1 Lap,TRUE
vettel,ferrari,2020,17,yas_marina,14,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2014,4,shanghai,4,dry,permanent,Finished,TRUE
button,mclaren,2014,10,hockenheimring,8,dry,permanent,Finished,TRUE
giovinazzi,alfa,2021,1,bahrain,12,dry,permanent,+1 Lap,TRUE
alonso,alpine,2021,10,silverstone,7,dry,permanent,Finished,TRUE
