driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
kubica,williams,2019,21,yas_marina,19,dry,permanent,+2 Laps,TRUE
hamilton,mercedes,2016,11,hungaroring,1,dry,permanent,Finished,TRUE
bottas,williams,2014,2,sepang,8,dry,permanent,Finished,TRUE
kvyat,toro_rosso,2019,7,villeneuve,10,dry,street,+1 Lap,TRUE
gasly,red_bull,2019,9,red_bull_ring,7,dry,permanent,+1 Lap,TRUE
alonso,alpine,2021,13,zandvoort,6,dry,permanent,+1 Lap,TRUE
bottas,williams,2014,14,marina_bay,11,dry,street,Finished,TRUE
bottas,mercedes,2017,20,yas_marina,1,dry,permanent,Finished,TRUE
perez,force_india,2014,5,catalunya,9,dry,permanent,+1 Lap,TRUE
russell,williams,2021,1,bahrain,14,dry,permanent,+1 Lap,TRUE
jolyon_palmer,renault,2016,19,rodriguez,14,dry,permanent,+1 Lap,TRUE
raikkonen,alfa,2021,5,monaco,11,dry,street,+1 Lap,TRUE
stroll,williams,2017,18,rodriguez,6,dry,permanent,+1 Lap,TRUE
perez,force_india,2014,16,sochi,10,dry,permanent,Finished,TRUE
rossi,manor,2015,18,interlagos,18,dry,permanent,+4 Laps,TRUE
sainz,mclaren,2019,7,villeneuve,11,dry,street,+1 Lap,TRUE
kvyat,alphatauri,2020,6,catalunya,12,dry,permanent,+1 Lap,TRUE
norris,mclaren,2020,5,silverstone,9,dry,permanent,Finished,TRUE
hulkenberg,renault,2019,4,BAK,14,dry,permanent,+1 Lap,TRUE
kevin_magnussen,haas,2019,3,shanghai,13,dry,permanent,+1 Lap,TRUE
button,mclaren,2016,6,monaco,9,wet,street,+1 Lap,TRUE
alonso,mclaren,2017,8,BAK,9,dry,street,Finished,TRUE
sainz,mclaren,2020,5,silverstone,13,dry,permanent,Finished,TRUE
bottas,mercedes,2020,1,red_bull_ring,1,dry,permanent,Finished,TRUE
hamilton,mercedes,2016,6,monaco,1,wet,street,Finished,TRUE
giovinazzi,alfa,2020,10,sochi,11,dry,permanent,+1 Lap,TRUE
haryanto,manor,2016,9,red_bull_ring,16,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2018,5,catalunya,3,dry,permanent,Finished,TRUE
sainz,mclaren,2020,4,silverstone,13,dry,permanent,Finished,TRUE
raikkonen,alfa,2021,20,losail,14,dry,permanent,+1 Lap,TRUE
kevin_magnussen,haas,2017,6,monaco,10,dry,permanent,Finished,TRUE
perez,force_india,2018,14,monza,7,dry,permanent,Finished,TRUE
ocon,renault,2020,17,yas_marina,9,dry,permanent,Finished,TRUE
hamilton,mercedes,2019,10,silverstone,1,dry,permanent,Finished,TRUE
raikkonen,ferrari,2015,7,villeneuve,4,dry,street,Finished,TRUE
perez,red_bull,2021,3,portimao,4,dry,permanent,Finished,TRUE
bottas,williams,2014,13,monza,4,dry,permanent,Finished,TRUE
bottas,mercedes,2020,14,istanbul,14,wet,permanent,+1 Lap,TRUE
ricciardo,red_bull,2017,13,monza,4,dry,permanent,Finished,TRUE
alonso,mclaren,2017,5,catalunya,12,dry,permanent,+2 Laps,TRUE
max_verstappen,red_bull,2016,17,suzuka,2,dry,permanent,Finished,TRUE
gasly,alphatauri,2021,21,jeddah,6,dry,street,Finished,TRUE
alonso,alpine,2021,16,istanbul,16,wet,permanent,+1 Lap,TRUE
ricciardo,red_bull,2016,19,rodriguez,3,dry,permanent,Finished,TRUE
raikkonen,ferrari,2017,12,spa,4,dry,permanent,Finished,TRUE
russell,williams,2021,11,hungaroring,8,wet,permanent,Finished,TRUE
sainz,toro_rosso,2015,1,albert_park,9,dry,street,+1 Lap,TRUE
raikkonen,alfa,2021,11,hungaroring,10,wet,permanent,+1 Lap,TRUE
hulkenberg,renault,2017,10,silverstone,6,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2018,16,sochi,5,dry,permanent,Finished,TRUE
hamilton,mercedes,2016,13,spa,3,dry,permanent,Finished,TRUE
stroll,aston_martin,2021,4,catalunya,11,dry,permanent,+1 Lap,TRUE
vettel,ferrari,2017,18,rodriguez,4,dry,permanent,Finished,TRUE
merhi,manor,2015,2,sepang,15,dry,permanent,+3 Laps,TRUE
stroll,racing_point,2019,9,red_bull_ring,14,dry,permanent,+1 Lap,TRUE
leclerc,ferrari,2020,5,silverstone,4,dry,permanent,Finished,TRUE
rosberg,mercedes,2016,17,suzuka,1,dry,permanent,Finished,TRUE
massa,williams,2017,1,albert_park,6,dry,street,Finished,TRUE
raikkonen,ferrari,2017,7,villeneuve,7,dry,street,Finished,TRUE
hulkenberg,renault,2019,14,monza,5,dry,permanent,Finished,TRUE
stroll,williams,2017,9,red_bull_ring,10,dry,permanent,+1 Lap,TRUE
bottas,williams,2014,19,yas_marina,3,dry,permanent,Finished,TRUE
gasly,alphatauri,2021,10,silverstone,11,dry,permanent,Finished,TRUE
perez,force_india,2014,8,red_bull_ring,6,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2018,1,albert_park,6,dry,street,Finished,TRUE
grosjean,haas,2019,5,catalunya,10,dry,permanent,Finished,TRUE
sainz,mclaren,2019,16,sochi,6,dry,permanent,Finished,TRUE
albon,red_bull,2020,3,hungaroring,5,wet,permanent,Finished,TRUE
latifi,williams,2021,19,interlagos,16,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,13,monza,16,dry,permanent,+2 Laps,TRUE
stroll,aston_martin,2021,22,yas_marina,13,dry,permanent,+1 Lap,TRUE
massa,williams,2017,9,red_bull_ring,9,dry,permanent,+1 Lap,TRUE
ocon,force_india,2018,13,spa,6,dry,permanent,Finished,TRUE
raikkonen,alfa,2019,19,americas,11,dry,permanent,+1 Lap,TRUE
ericsson,caterham,2014,10,hockenheimring,18,dry,permanent,+2 Laps,TRUE
kvyat,red_bull,2015,15,sochi,5,dry,street,Finished,TRUE
max_verstappen,red_bull,2020,5,silverstone,1,dry,permanent,Finished,TRUE
gutierrez,sauber,2014,4,shanghai,16,dry,permanent,+1 Lap,TRUE
sainz,toro_rosso,2016,9,red_bull_ring,8,dry,permanent,Finished,TRUE
ricciardo,red_bull,2015,12,monza,8,dry,permanent,+1 Lap,TRUE
bottas,mercedes,2021,19,interlagos,3,dry,permanent,Finished,TRUE
perez,racing_point,2019,6,monaco,12,dry,street,+1 Lap,TRUE
max_verstappen,toro_rosso,2015,5,catalunya,11,dry,permanent,+1 Lap,TRUE
button,mclaren,2015,16,americas,6,dry,permanent,Finished,TRUE
perez,racing_point,2019,14,monza,7,dry,permanent,Finished,TRUE
sainz,renault,2018,18,americas,7,dry,permanent,Finished,TRUE
alonso,mclaren,2016,13,spa,7,dry,permanent,Finished,TRUE
hulkenberg,force_india,2016,17,suzuka,8,dry,permanent,Finished,TRUE
sainz,mclaren,2020,6,catalunya,6,dry,permanent,+1 Lap,TRUE
stevens,manor,2015,12,monza,15,dry,permanent,+2 Laps,TRUE
gasly,toro_rosso,2019,21,yas_marina,18,dry,permanent,+2 Laps,TRUE
grosjean,lotus_f1,2014,8,red_bull_ring,14,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2016,4,sochi,11,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2020,6,catalunya,9,dry,permanent,+1 Lap,TRUE
mick_schumacher,haas,2021,20,losail,16,dry,permanent,+1 Lap,TRUE
raikkonen,alfa,2019,11,hockenheimring,12,wet,permanent,Finished,TRUE
perez,force_india,2015,3,shanghai,11,dry,permanent,+1 Lap,TRUE
sirotkin,williams,2018,14,monza,10,dry,permanent,+1 Lap,TRUE
kevin_magnussen,haas,2019,16,sochi,9,dry,permanent,Finished,TRUE
stroll,racing_point,2019,1,albert_park,9,dry,permanent,+1 Lap,TRUE
bottas,mercedes,2018,2,bahrain,2,dry,permanent,Finished,TRUE
chilton,marussia,2014,5,catalunya,19,dry,permanent,+2 Laps,TRUE
vandoorne,mclaren,2017,16,suzuka,14,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2017,3,bahrain,2,dry,permanent,Finished,TRUE
stevens,manor,2015,18,interlagos,17,dry,permanent,+4 Laps,TRUE
perez,racing_point,2020,9,mugello,5,dry,permanent,Finished,TRUE
norris,mclaren,2020,14,istanbul,8,wet,permanent,Finished,TRUE
vettel,ferrari,2018,8,ricard,5,dry,permanent,Finished,TRUE
stroll,williams,2018,9,red_bull_ring,14,dry,permanent,+2 Laps,TRUE
alonso,mclaren,2017,19,interlagos,8,dry,permanent,Finished,TRUE
kvyat,toro_rosso,2017,13,monza,12,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2021,16,istanbul,6,wet,permanent,Finished,TRUE
kevin_magnussen,haas,2017,4,sochi,13,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2021,6,BAK,3,dry,street,Finished,TRUE
hamilton,mercedes,2021,6,BAK,15,dry,street,Finished,TRUE
stroll,racing_point,2019,4,BAK,9,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2020,7,spa,17,dry,permanent,Finished,TRUE
raikkonen,alfa,2021,2,imola,13,wet,permanent,Finished,TRUE
stroll,aston_martin,2021,17,americas,12,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2018,8,ricard,13,dry,permanent,+1 Lap,TRUE
massa,williams,2016,17,suzuka,9,dry,permanent,Finished,TRUE
leclerc,ferrari,2021,2,imola,4,wet,permanent,Finished,TRUE
stroll,williams,2017,13,monza,7,dry,permanent,Finished,TRUE
russell,williams,2021,13,zandvoort,17,dry,permanent,Gearbox,TRUE
tsunoda,alphatauri,2021,11,hungaroring,6,wet,permanent,Finished,TRUE
button,mclaren,2015,3,shanghai,14,dry,permanent,+1 Lap,TRUE
ricciardo,mclaren,2021,20,losail,12,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2018,19,rodriguez,9,dry,permanent,+2 Laps,TRUE
hamilton,mercedes,2015,10,hungaroring,6,dry,permanent,Finished,TRUE
stroll,aston_martin,2021,10,silverstone,8,dry,permanent,Finished,TRUE
bottas,williams,2016,20,interlagos,11,wet,permanent,Finished,TRUE
hulkenberg,renault,2018,6,monaco,8,dry,permanent,Finished,TRUE
raikkonen,ferrari,2017,3,bahrain,4,dry,permanent,Finished,TRUE
bottas,mercedes,2017,7,villeneuve,2,dry,street,Finished,TRUE
gasly,red_bull,2019,3,shanghai,6,dry,permanent,Finished,TRUE
maldonado,lotus_f1,2014,13,monza,14,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2017,6,monaco,3,dry,permanent,Finished,TRUE
sainz,mclaren,2019,20,interlagos,3,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2020,15,bahrain,17,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2017,1,albert_park,5,dry,street,Finished,TRUE
alonso,alpine,2021,12,spa,11,wet,permanent,Finished,TRUE
vandoorne,mclaren,2018,4,BAK,9,dry,street,Finished,TRUE
massa,williams,2014,11,hungaroring,5,wet,permanent,Finished,TRUE
bottas,williams,2014,12,spa,3,dry,permanent,Finished,TRUE
albon,toro_rosso,2019,3,shanghai,10,dry,permanent,+1 Lap,TRUE
max_verstappen,toro_rosso,2015,17,rodriguez,9,dry,permanent,Finished,TRUE
vettel,ferrari,2016,20,interlagos,5,wet,permanent,Finished,TRUE
wehrlein,manor,2016,15,marina_bay,16,dry,street,+1 Lap,TRUE
wehrlein,sauber,2017,11,hungaroring,15,dry,permanent,+2 Laps,TRUE
mazepin,haas,2021,17,americas,17,dry,permanent,+2 Laps,TRUE
max_verstappen,red_bull,2019,6,monaco,4,dry,street,Finished,TRUE
vettel,ferrari,2018,20,interlagos,6,dry,permanent,Finished,TRUE
ricciardo,red_bull,2017,9,red_bull_ring,3,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2019,15,marina_bay,17,dry,street,Finished,TRUE
kevin_magnussen,mclaren,2014,15,suzuka,14,wet,permanent,+1 Lap,TRUE
bottas,mercedes,2018,10,silverstone,4,dry,permanent,Finished,TRUE
nasr,sauber,2016,21,yas_marina,16,dry,permanent,+1 Lap,TRUE
albon,red_bull,2019,19,americas,5,dry,permanent,Finished,TRUE
russell,williams,2019,1,albert_park,16,dry,permanent,+2 Laps,TRUE
hamilton,mercedes,2016,8,BAK,5,dry,street,Finished,TRUE
tsunoda,alphatauri,2021,20,losail,13,dry,permanent,+1 Lap,TRUE
kvyat,alphatauri,2020,9,mugello,7,dry,permanent,Finished,TRUE
kvyat,toro_rosso,2016,17,suzuka,13,dry,permanent,+1 Lap,TRUE
mick_schumacher,haas,2021,22,yas_marina,14,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2016,7,villeneuve,11,dry,street,+1 Lap,TRUE
chilton,marussia,2014,11,hungaroring,16,wet,permanent,+1 Lap,TRUE
bottas,mercedes,2020,8,monza,5,dry,permanent,Finished,TRUE
grosjean,lotus_f1,2014,5,catalunya,8,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2016,10,silverstone,13,wet,permanent,+1 Lap,TRUE
raikkonen,ferrari,2014,7,villeneuve,10,dry,street,Finished,TRUE
button,mclaren,2015,5,catalunya,16,dry,permanent,+1 Lap,TRUE
russell,williams,2019,6,monaco,15,dry,street,+1 Lap,TRUE
russell,williams,2019,3,shanghai,16,dry,permanent,+2 Laps,TRUE
grosjean,haas,2016,2,bahrain,5,dry,permanent,Finished,TRUE
stroll,williams,2018,12,hungaroring,17,dry,permanent,+2 Laps,TRUE
rosberg,mercedes,2014,19,yas_marina,14,dry,permanent,+1 Lap,TRUE
gasly,toro_rosso,2018,18,americas,12,dry,permanent,+1 Lap,TRUE
mazepin,haas,2021,16,istanbul,20,wet,permanent,+2 Laps,TRUE
vettel,ferrari,2020,15,bahrain,13,dry,permanent,+1 Lap,TRUE
sainz,mclaren,2019,19,americas,8,dry,permanent,+1 Lap,TRUE
raikkonen,ferrari,2018,12,hungaroring,3,dry,permanent,Finished,TRUE
grosjean,haas,2017,5,catalunya,10,dry,permanent,+1 Lap,TRUE
massa,williams,2015,8,red_bull_ring,3,dry,permanent,Finished,TRUE
bottas,mercedes,2017,8,BAK,2,dry,street,Finished,TRUE
perez,red_bull,2021,5,monaco,4,dry,street,Finished,TRUE
alonso,ferrari,2014,11,hungaroring,2,wet,permanent,Finished,TRUE
stroll,aston_martin,2021,5,monaco,8,dry,street,+1 Lap,TRUE
hamilton,mercedes,2019,21,yas_marina,1,dry,permanent,Finished,TRUE
gutierrez,haas,2016,7,villeneuve,13,dry,street,+2 Laps,TRUE
bottas,mercedes,2021,22,yas_marina,6,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2018,11,hockenheimring,11,wet,permanent,Finished,TRUE
stroll,williams,2017,20,yas_marina,18,dry,permanent,+1 Lap,TRUE
bottas,mercedes,2018,8,ricard,7,dry,permanent,Finished,TRUE
button,mclaren,2014,13,monza,8,dry,permanent,Finished,TRUE
bottas,mercedes,2021,8,red_bull_ring,3,dry,permanent,Finished,TRUE
perez,force_india,2017,2,shanghai,9,wet,permanent,+1 Lap,TRUE
hamilton,mercedes,2021,13,zandvoort,2,dry,permanent,Finished,TRUE
hamilton,mercedes,2018,5,catalunya,1,dry,permanent,Finished,TRUE
ericsson,sauber,2016,17,suzuka,15,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2021,21,jeddah,1,dry,street,Finished,TRUE
rosberg,mercedes,2014,7,villeneuve,2,dry,street,Finished,TRUE
kobayashi,caterham,2014,15,suzuka,19,wet,permanent,+1 Lap,TRUE
pietro_fittipaldi,haas,2020,17,yas_marina,19,dry,permanent,+2 Laps,TRUE
gasly,toro_rosso,2018,9,red_bull_ring,11,dry,permanent,+1 Lap,TRUE
massa,williams,2017,16,suzuka,10,dry,permanent,+1 Lap,TRUE
latifi,williams,2020,12,portimao,18,dry,permanent,+2 Laps,TRUE
jules_bianchi,marussia,2014,9,silverstone,14,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2020,2,red_bull_ring,15,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2021,20,losail,2,dry,permanent,Finished,TRUE
raikkonen,ferrari,2014,2,sepang,12,dry,permanent,+1 Lap,TRUE
haryanto,manor,2016,11,hungaroring,21,dry,permanent,+2 Laps,TRUE
kvyat,red_bull,2015,5,catalunya,10,dry,permanent,+1 Lap,TRUE
raikkonen,alfa,2021,12,spa,18,wet,permanent,Finished,TRUE
hulkenberg,force_india,2016,10,silverstone,7,wet,permanent,Finished,TRUE
vettel,ferrari,2019,10,silverstone,16,dry,permanent,+1 Lap,TRUE
perez,force_india,2018,3,shanghai,12,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2017,7,villeneuve,12,dry,street,+1 Lap,TRUE
albon,red_bull,2019,15,marina_bay,6,dry,street,Finished,TRUE
wehrlein,sauber,2017,10,silverstone,17,dry,permanent,+1 Lap,TRUE
russell,williams,2021,16,istanbul,15,wet,permanent,+1 Lap,TRUE
raikkonen,alfa,2020,17,yas_marina,12,dry,permanent,+1 Lap,TRUE
sainz,renault,2018,3,shanghai,9,dry,permanent,Finished,TRUE
ricciardo,renault,2019,8,ricard,11,dry,permanent,+1 Lap,TRUE
maldonado,lotus_f1,2015,13,marina_bay,12,dry,street,Finished,TRUE
vettel,ferrari,2017,3,bahrain,1,dry,permanent,Finished,TRUE
sainz,toro_rosso,2016,18,americas,6,dry,permanent,Finished,TRUE
brendon_hartley,toro_rosso,2018,21,yas_marina,12,dry,permanent,+1 Lap,TRUE
giovinazzi,alfa,2019,17,suzuka,14,dry,permanent,+1 Lap,TRUE
massa,williams,2014,3,bahrain,7,dry,permanent,Finished,TRUE
leclerc,ferrari,2021,13,zandvoort,5,dry,permanent,+1 Lap,TRUE
kvyat,red_bull,2015,17,rodriguez,4,dry,permanent,Finished,TRUE
norris,mclaren,2021,13,zandvoort,10,dry,permanent,+1 Lap,TRUE
russell,williams,2019,21,yas_marina,17,dry,permanent,+1 Lap,TRUE
grosjean,haas,2019,19,americas,15,dry,permanent,+1 Lap,TRUE
ocon,force_india,2017,16,suzuka,6,dry,permanent,Finished,TRUE
leclerc,sauber,2018,1,albert_park,13,dry,street,Finished,TRUE
hamilton,mercedes,2016,4,sochi,2,dry,permanent,Finished,TRUE
gutierrez,sauber,2014,15,suzuka,13,wet,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2018,14,monza,5,dry,permanent,Finished,TRUE
perez,force_india,2018,11,hockenheimring,7,wet,permanent,Finished,TRUE
grosjean,haas,2019,14,monza,16,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2016,19,rodriguez,4,dry,permanent,Finished,TRUE
norris,mclaren,2020,15,bahrain,4,dry,permanent,Finished,TRUE
ocon,alpine,2021,4,catalunya,9,dry,permanent,+1 Lap,TRUE
perez,force_india,2015,4,bahrain,8,dry,permanent,+1 Lap,TRUE
hulkenberg,racing_point,2020,11,nurburgring,8,dry,permanent,Finished,TRUE
hamilton,mercedes,2017,5,catalunya,1,dry,permanent,Finished,TRUE
gasly,alphatauri,2020,1,red_bull_ring,7,dry,permanent,Finished,TRUE
raikkonen,alfa,2020,3,hungaroring,15,wet,permanent,+1 Lap,TRUE
stroll,williams,2017,5,catalunya,16,dry,permanent,+2 Laps,TRUE
hulkenberg,force_india,2015,12,monza,7,dry,permanent,+1 Lap,TRUE
stroll,williams,2018,17,suzuka,17,dry,permanent,+1 Lap,TRUE
mazepin,haas,2021,6,BAK,14,dry,street,Finished,TRUE
ricciardo,renault,2019,19,americas,6,dry,permanent,Finished,TRUE
norris,mclaren,2021,6,BAK,5,dry,street,Finished,TRUE
grosjean,haas,2018,21,yas_marina,9,dry,permanent,+1 Lap,TRUE
bottas,williams,2015,2,sepang,5,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2018,8,ricard,6,dry,permanent,Finished,TRUE
mazepin,haas,2021,3,portimao,19,dry,permanent,+2 Laps,TRUE
ricciardo,renault,2020,14,istanbul,10,wet,permanent,Finished,TRUE
rosberg,mercedes,2015,4,bahrain,3,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2019,11,hockenheimring,1,wet,permanent,Finished,TRUE
alonso,mclaren,2015,19,yas_marina,17,dry,permanent,+2 Laps,TRUE
hamilton,mercedes,2020,10,sochi,3,dry,permanent,Finished,TRUE
vettel,ferrari,2016,1,albert_park,3,dry,street,Finished,TRUE
perez,force_india,2018,12,hungaroring,14,dry,permanent,+1 Lap,TRUE
gasly,red_bull,2019,2,bahrain,8,dry,permanent,Finished,TRUE
giovinazzi,alfa,2019,3,shanghai,15,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2019,6,monaco,1,dry,street,Finished,TRUE
max_verstappen,red_bull,2018,8,ricard,2,dry,permanent,Finished,TRUE
leclerc,ferrari,2021,16,istanbul,4,wet,permanent,Finished,TRUE
norris,mclaren,2019,12,hungaroring,9,dry,permanent,+1 Lap,TRUE
grosjean,haas,2018,7,villeneuve,12,dry,street,+1 Lap,TRUE
hamilton,mercedes,2021,16,istanbul,5,wet,permanent,Finished,TRUE
vettel,ferrari,2018,17,suzuka,6,dry,permanent,Finished,TRUE
raikkonen,alfa,2019,7,villeneuve,15,dry,street,+1 Lap,TRUE
jolyon_palmer,renault,2017,9,red_bull_ring,11,dry,permanent,+1 Lap,TRUE
bottas,williams,2014,3,bahrain,8,dry,permanent,Finished,TRUE
stevens,manor,2015,3,shanghai,15,dry,permanent,+2 Laps,TRUE
sainz,toro_rosso,2017,6,monaco,6,dry,permanent,Finished,TRUE
kvyat,toro_rosso,2019,6,monaco,7,dry,street,Finished,TRUE
russell,williams,2019,18,rodriguez,16,dry,permanent,+2 Laps,TRUE
kevin_magnussen,haas,2018,16,sochi,8,dry,permanent,+1 Lap,TRUE
kevin_magnussen,mclaren,2014,5,catalunya,12,dry,permanent,+1 Lap,TRUE
perez,racing_point,2019,12,hungaroring,11,dry,permanent,+1 Lap,TRUE
sainz,toro_rosso,2015,19,yas_marina,11,dry,permanent,Finished,TRUE
vettel,aston_martin,2021,1,bahrain,15,dry,permanent,+1 Lap,TRUE
bottas,williams,2014,4,shanghai,7,dry,permanent,Finished,TRUE
perez,force_india,2018,1,albert_park,11,dry,street,Finished,TRUE
nasr,sauber,2016,2,bahrain,14,dry,permanent,+1 Lap,TRUE
gasly,alphatauri,2020,12,portimao,5,dry,permanent,+1 Lap,TRUE
stroll,williams,2017,17,americas,11,dry,permanent,+1 Lap,TRUE
leclerc,ferrari,2019,8,ricard,3,dry,permanent,Finished,TRUE
stroll,williams,2017,10,silverstone,16,dry,permanent,+1 Lap,TRUE
bottas,williams,2016,18,americas,16,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2018,13,spa,2,dry,permanent,Finished,TRUE
gutierrez,haas,2016,5,catalunya,11,dry,permanent,+1 Lap,TRUE
rosberg,mercedes,2015,9,silverstone,2,wet,permanent,Finished,TRUE
sainz,ferrari,2021,11,hungaroring,3,wet,permanent,Finished,TRUE
mick_schumacher,haas,2021,10,silverstone,18,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2016,21,yas_marina,1,dry,permanent,Finished,TRUE
leclerc,ferrari,2021,10,silverstone,2,dry,permanent,Finished,TRUE
hulkenberg,force_india,2014,19,yas_marina,6,dry,permanent,Finished,TRUE
raikkonen,alfa,2019,17,suzuka,12,dry,permanent,+1 Lap,TRUE
grosjean,haas,2018,8,ricard,11,dry,permanent,+1 Lap,TRUE
merhi,manor,2015,10,hungaroring,15,dry,permanent,+2 Laps,TRUE
hulkenberg,force_india,2014,12,spa,10,dry,permanent,Finished,TRUE
gasly,alphatauri,2021,5,monaco,6,dry,street,Finished,TRUE
vettel,aston_martin,2021,7,ricard,9,dry,permanent,Finished,TRUE
sainz,mclaren,2020,12,portimao,6,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2015,15,sochi,15,dry,street,Suspension,TRUE
brendon_hartley,toro_rosso,2018,15,marina_bay,17,dry,permanent,+1 Lap,TRUE
massa,williams,2017,3,bahrain,6,dry,permanent,Finished,TRUE
ericsson,sauber,2016,18,americas,14,dry,permanent,+1 Lap,TRUE
giovinazzi,alfa,2021,6,BAK,11,dry,street,Finished,TRUE
russell,williams,2019,20,interlagos,12,dry,permanent,Finished,TRUE
ocon,force_india,2018,7,villeneuve,9,dry,street,+1 Lap,TRUE
sutil,sauber,2014,8,red_bull_ring,13,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2018,3,shanghai,7,dry,permanent,Finished,TRUE
norris,mclaren,2020,7,spa,7,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2016,7,villeneuve,4,dry,street,Finished,TRUE
russell,williams,2020,3,hungaroring,18,wet,permanent,+1 Lap,TRUE
norris,mclaren,2021,8,red_bull_ring,5,dry,permanent,+1 Lap,TRUE
wehrlein,manor,2016,12,hockenheimring,17,dry,permanent,+2 Laps,TRUE
alonso,mclaren,2016,17,suzuka,16,dry,permanent,+1 Lap,TRUE
norris,mclaren,2019,16,sochi,8,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2019,10,silverstone,5,dry,permanent,Finished,TRUE
bottas,williams,2014,7,villeneuve,7,dry,street,Finished,TRUE
hulkenberg,renault,2017,13,monza,13,dry,permanent,+1 Lap,TRUE
giovinazzi,alfa,2019,1,albert_park,15,dry,permanent,+1 Lap,TRUE
sainz,ferrari,2021,10,silverstone,6,dry,permanent,Finished,TRUE
merhi,manor,2015,19,yas_marina,19,dry,permanent,+3 Laps,TRUE
kvyat,red_bull,2015,4,bahrain,9,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2017,10,silverstone,1,dry,permanent,Finished,TRUE
perez,force_india,2014,3,bahrain,3,dry,permanent,Finished,TRUE
rosberg,mercedes,2015,19,yas_marina,1,dry,permanent,Finished,TRUE
sainz,toro_rosso,2015,15,sochi,16,dry,street,Brakes,TRUE
kvyat,toro_rosso,2014,5,catalunya,14,dry,permanent,+1 Lap,TRUE
mick_schumacher,haas,2021,1,bahrain,16,dry,permanent,+1 Lap,TRUE
stroll,racing_point,2019,7,villeneuve,9,dry,street,+1 Lap,TRUE
sainz,renault,2018,4,BAK,5,dry,street,Finished,TRUE
giovinazzi,alfa,2019,21,yas_marina,16,dry,permanent,+1 Lap,TRUE
albon,red_bull,2019,13,spa,5,dry,permanent,Finished,TRUE
perez,force_india,2014,14,marina_bay,7,dry,street,Finished,TRUE
hulkenberg,force_india,2014,2,sepang,5,dry,permanent,Finished,TRUE
giovinazzi,alfa,2020,5,silverstone,17,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2019,18,rodriguez,1,dry,permanent,Finished,TRUE
gasly,toro_rosso,2018,6,monaco,7,dry,permanent,Finished,TRUE
jules_bianchi,marussia,2014,8,red_bull_ring,15,dry,permanent,+2 Laps,TRUE
russell,williams,2020,10,sochi,18,dry,permanent,+1 Lap,TRUE
kevin_magnussen,mclaren,2014,18,interlagos,9,dry,permanent,Finished,TRUE
rosberg,mercedes,2016,16,sepang,3,dry,permanent,Finished,TRUE
giovinazzi,alfa,2019,2,bahrain,11,dry,permanent,Finished,TRUE
kubica,williams,2019,12,hungaroring,19,dry,permanent,+3 Laps,TRUE
kvyat,alphatauri,2020,5,silverstone,10,dry,permanent,Finished,TRUE
max_verstappen,toro_rosso,2015,8,red_bull_ring,8,dry,permanent,+1 Lap,TRUE
rosberg,mercedes,2015,16,americas,2,dry,permanent,Finished,TRUE
massa,williams,2015,11,spa,6,dry,permanent,Finished,TRUE
alonso,alpine,2021,20,losail,3,dry,permanent,Finished,TRUE
bottas,mercedes,2019,6,monaco,3,dry,street,Finished,TRUE
kevin_magnussen,haas,2020,11,nurburgring,13,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2017,8,BAK,7,dry,street,Finished,TRUE
bottas,mercedes,2019,1,albert_park,1,dry,permanent,Finished,TRUE
